날짜,메뉴,알레르기,에너지,단백질,칼슘,철,비고
9/01(월),"(압맥)현미찹쌀밥, (쇠고기)두부된장찌개, 명태피고추부각강정무침, 대패삼겹살구이, 쌈무, 채쑥갓겉절이, 보쌈김치","5,6,9,10,13,16,18",900.3,33.2,218.3,3.3,현미건강밥상
9/02(화),"오므라이스, 통들깨양배추방울토마토샐러드, 국물떡볶이, 당면만두튀김, 오징어튀김, 깍두기, 요구르트","1,2,5,6,9,10,12,13,15,16,17,18",956.2,33.0,243.2,4.5,잔반 없는 날 / NA줄이기
9/03(수),"(쥐눈이콩)현미찹쌀밥, 옹심이만두미역국, 버섯불고기, 더덕찹쌀강정, 배추김치, 꿀떡","1,5,6,9,10,13,15,16,18",701.1,34.0,268.4,5.4,생일축하밥상 / 잔반 없는 날
9/04(목),"(찰흑미)현미찹쌀밥, 부대찌개, 가지나물, LA돼지갈비구이, 깻잎김치, 거봉포도","1,2,5,6,9,10,12,13,15,16,18",858.1,42.4,238.9,3.6,
9/07(월),"발아현미찹쌀밥, 고디국, 도토리묵무침, 닭날개간장오븐구이, 껍질땅콩, 멜론","1,4,5,6,9,13,15,18",713.0,35.2,326.0,4.1,
9/08(화),"(귀리)현미찹쌀밥, 쇠고기국, 돼지고기가지볶음, 꽃빵, 연어구이, 배추김치, 자두","5,6,9,10,12,13,16,18",612.8,30.9,248.0,3.6,
9/09(수),"(녹두)현미찹쌀밥, 닭곰탕, 오이고추파프리카된장무침, 칠리새우, 깍두기, 옥수수빵","1,2,5,6,9,12,13,15",780.7,43.6,159.5,4.5,잔반 없는 날
9/10(목),"(청차조)현미찹쌀밥, 짬뽕우동국, 마라순살찜닭, 방울토마토오이초무침, 배추김치, 밀감","2,5,6,9,10,12,13,15,16,17,18",782.1,44.0,246.7,4.0,
9/11(금),"(할맥)현미찹쌀밥, 순두부백탕, 새우멸치조림, 쫄면, 돼지고기육전, 배추김치, 츄러스","1,2,5,6,9,10,13,15,18",754.9,34.6,450.2,5.4,잔반 없는 날
9/14(월),"(찰옥수수)현미찹쌀밥, 김치콩나물국, 감바스파스타, 갈릭크로와상, 쥐포엿장조림, 사과","1,2,5,6,9,12,13,18",748.3,28.0,264.1,3.3,
9/15(화),"(찰기장)현미찹쌀밥, 한우갈비탕, 코다리강정, 청경채된장무침, 알타리김치, 요구르트","2,5,6,9,13,16,18",903.8,85.4,469.2,7.3,잔반 없는 날
9/16(수),"지코바치밥, 미소된장국, 보코치니치즈과일샐러드, 마늘쫑장아찌, 과일젤리","1,2,5,6,9,12,13,15,18",918.9,50.6,393.8,4.8,1학년 미실시(수련활동)
9/17(목),"(차수수)현미찹쌀밥, 우동국, 맛살숙주나물무침, 북성로불고기, 배추김치, 햇배","2,5,6,9,10,12,13,18",843.5,40.9,284.2,4.5,1학년 미실시(수련활동)
9/18(금),"(감자보리)현미찹쌀밥, 오징어무국, 어묵볶음, 스팸구이, 두부구이, 참치김치볶음, 파인애플","1,2,5,6,9,10,13,15,16,17,18",786.9,46.9,373.3,4.5,1학년 미실시(수련활동)
9/21(월),"간짜장면, 현미찹쌀작은밥, 파래김자반, 꿔바로우탕수육, 레몬탕수소스, 단무지, 요구르트","1,2,5,6,10,13,18",772.7,26.2,149.4,10.0,중간고사 / 잔반 없는 날
9/22(화),"가바현미찹쌀밥, 알토란탕, 돼지찜갈비, 오색산적, 배추김치, 깨송편","1,2,5,6,9,10,13,15,16,18",967.2,43.7,178.9,3.3,추석절식 / 중간고사
9/28(월),"(병아리콩기장)현미찹쌀밥, 황태채미역국, 로제떡볶이, 어묵구이, 배추김치, 샤인머스켓","1,2,5,6,9,10,12,13,15,16,18",755.9,31.9,445.2,3.5,
9/29(화),"(찰보리)현미찹쌀밥, 단배추된장국, 우엉샐러드, 제육볶음, 배추김치, 골드키위","1,2,4,5,6,9,10,13,18",710.3,31.9,330.6,4.1,
9/30(수),"곤드레나물밥, 무채국, 가지부각, 훈제오리버섯구이, 부추양배추샐러드, 배추김치","5,6,9,13,18",709.0,33.5,370.2,4.3,잔반 없는 날
